----------------------------------------------------------------------------------------------------
Marvellous\Marvellous2024_06_02_10_16_42.log Process Log
Log file created at :Sun Jun  2 10:16:42 2024
----------------------------------------------------------------------------------------------------
CONTENTS OF LOG FILE 
----------------------------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4356, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 4408, 'name': 'IntelCpHeciSvc.exe', 'username': None} 
{'pid': 4448, 'name': 'svchost.exe', 'username': None} 
{'pid': 4568, 'name': 'jhi_service.exe', 'username': None} 
{'pid': 4580, 'name': 'cmd.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 4680, 'name': 'svchost.exe', 'username': None} 
{'pid': 4728, 'name': 'svchost.exe', 'username': None} 
{'pid': 4736, 'name': 'svchost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 4800, 'name': 'winlogon.exe', 'username': None} 
{'pid': 5172, 'name': 'SearchIndexer.exe', 'username': None} 
{'pid': 5500, 'name': 'svchost.exe', 'username': None} 
{'pid': 5508, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 5580, 'name': 'svchost.exe', 'username': None} 
{'pid': 5764, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 5812, 'name': 'svchost.exe', 'username': None} 
{'pid': 6128, 'name': 'AggregatorHost.exe', 'username': None} 
{'pid': 6220, 'name': 'WmiPrvSE.exe', 'username': None} 
{'pid': 6744, 'name': 'svchost.exe', 'username': None} 
{'pid': 6852, 'name': 'svchost.exe', 'username': None} 
{'pid': 6864, 'name': 'svchost.exe', 'username': None} 
{'pid': 6904, 'name': 'svchost.exe', 'username': None} 
{'pid': 6964, 'name': 'svchost.exe', 'username': None} 
{'pid': 7096, 'name': 'svchost.exe', 'username': None} 
{'pid': 7244, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 7276, 'name': 'LockApp.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 7360, 'name': 'svchost.exe', 'username': None} 
{'pid': 7648, 'name': 'powershell.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 7884, 'name': 'CptHost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 7960, 'name': 'SearchApp.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8052, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8188, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8232, 'name': 'conhost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8408, 'name': 'MoUsoCoreWorker.exe', 'username': None} 
{'pid': 8416, 'name': 'svchost.exe', 'username': None} 
{'pid': 8608, 'name': 'jusched.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8808, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8828, 'name': 'Zoom.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8944, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 8952, 'name': 'SecurityHealthService.exe', 'username': None} 
{'pid': 9040, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 9592, 'name': 'dwm.exe', 'username': None} 
{'pid': 9604, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 9772, 'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 9788, 'name': 'svchost.exe', 'username': None} 
{'pid': 9864, 'name': 'svchost.exe', 'username': None} 
{'pid': 9928, 'name': 'conhost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 10068, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 10524, 'name': 'sihost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 10740, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 10820, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 11168, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 11776, 'name': 'explorer.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 11816, 'name': 'Zoom.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 11984, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 12108, 'name': 'svchost.exe', 'username': None} 
{'pid': 12148, 'name': 'powershell.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 12224, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 12428, 'name': 'taskhostw.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 12504, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 12800, 'name': 'RtkNGUI64.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 13040, 'name': 'svchost.exe', 'username': None} 
{'pid': 13144, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 13660, 'name': 'SynTPHelper.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 14104, 'name': 'conhost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 14332, 'name': 'svchost.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 14388, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 14588, 'name': 'py.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 14904, 'name': 'python.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15020, 'name': 'chrome.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15048, 'name': 'powershell.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15392, 'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15464, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15488, 'name': 'RadeonSettings.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15552, 'name': 'msedge.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15612, 'name': 'Code.exe', 'username': 'DESKTOP-AK86L5U\\Shedage'} 
{'pid': 15700, 'name': 'audiodg.exe', 'username': None} 
{'pid': 15712, 'name': 'svchost.exe', 'username': None} 
